category	playlist_index	video_id	title	url	has_vtt	drop_reason
Java Core	15	syo6oncqRt8	#1. What is Java? | Basic Java Course From A to Z for Beginners	https://www.youtube.com/watch?v=syo6oncqRt8	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	26	8RO1f4jAmCk	#12. Java If...Else | Basic Java Course from A to Z for Beginners	https://www.youtube.com/watch?v=8RO1f4jAmCk	True	Redundant within the Java learning path.
Java Core	39	ZxibV3JKIjw	#24. Class Attributes | Java Basic Course from A to Z for Beginners	https://www.youtube.com/watch?v=ZxibV3JKIjw	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	40	J19nSnURweo	#25. Class Methods | Java Programming Course from A to Z for Beginners	https://www.youtube.com/watch?v=J19nSnURweo	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	47	WCJq8JQRMNI	#32. Java Autoboxing/Unboxing (Object wrapper class) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=WCJq8JQRMNI	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	52	VEzA5G7_GJI	#37. String | Java Programming Basics Course From A to Z for Beginners	https://www.youtube.com/watch?v=VEzA5G7_GJI	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	54	jk82QXsgk_E	#39. Regular Expression | Java Basics Course From A to Z for Beginners	https://www.youtube.com/watch?v=jk82QXsgk_E	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	71	MI8HCOGGqGg	#54. Throws and Throw Keywords | Java Programming Course for Beginners from A to Z	https://www.youtube.com/watch?v=MI8HCOGGqGg	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	74	UfXnEVpJglg	#57. Overview of Java IO (Stream) | Java Basics Course From A to Z for Beginners	https://www.youtube.com/watch?v=UfXnEVpJglg	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
Java Core	79	WhKzTzadggg	#62. Thread Objects | Basic Java Course from A to Z for Beginners	https://www.youtube.com/watch?v=WhKzTzadggg	True	Covered by stronger or broader Java selections; lower priority for A2 scale account.
DSA	5	OEtmPRXhEwA	#30 [C++]. Hướng Dẫn Giải Bài Tập Thuật Toán Sinh Kế Tiếp	https://www.youtube.com/watch?v=OEtmPRXhEwA	True	Narrower algorithm-generation exercise; lower priority than core DSA patterns.
DSA	14	pIsOTB43pXc	Bài Toán Người Du Lịch | Thuật Toán Quay Lui Nhánh Cận	https://www.youtube.com/watch?v=pIsOTB43pXc	True	Advanced branch-and-bound exercise; lower priority for the balanced final pool.
DSA	15	27zXJOmns1M	[CTDL & GT]. Cây Phân Đoạn - Segment Tree	https://www.youtube.com/watch?v=27zXJOmns1M	True	Advanced Segment Tree topic; dropped to keep the pool broad rather than competitive-programming heavy.
JavaScript	1	0SJE9dYdpps	Javascript có thể làm được gì? Giới thiệu về trang F8 | Học lập trình Javascript cơ bản	https://www.youtube.com/watch?v=0SJE9dYdpps	False	Older/basic JavaScript topic without harvested VTT and duplicated by other foundation selections.
JavaScript	20	6F_dajRCC9Q	Chuỗi trong JavaScript | JavaScript String	https://www.youtube.com/watch?v=6F_dajRCC9Q	False	Older/basic JavaScript topic without harvested VTT and duplicated by other foundation selections.
JavaScript	38	1zeMUJeBkeA	Vòng lặp trong JavaScript | JavaScript Loop	https://www.youtube.com/watch?v=1zeMUJeBkeA	False	Older/basic JavaScript topic without harvested VTT and duplicated by other foundation selections.
JavaScript	49	AT-yhX26_Ao	Làm việc với mảng trong JavaScript | Array methods (Phần 2)	https://www.youtube.com/watch?v=AT-yhX26_Ao	False	Older/basic JavaScript topic without harvested VTT and duplicated by other foundation selections.
JavaScript	50	-xZkVmkDwbU	Array map method trong JavaScript | Làm việc với mảng	https://www.youtube.com/watch?v=-xZkVmkDwbU	False	Older/basic JavaScript topic without harvested VTT and duplicated by other foundation selections.
JavaScript	51	-JMh3A556cw	Phương thức reduce khi làm việc với array | JavaScript array reduce() method	https://www.youtube.com/watch?v=-JMh3A556cw	False	Older/basic JavaScript topic without harvested VTT and duplicated by other foundation selections.
JavaScript	62	ZwbBiGf35V4	What is Recursion? Learn about Recursion in JavaScript | Recursive Function	https://www.youtube.com/watch?v=ZwbBiGf35V4	True	Duplicate or lower-priority JavaScript concept/practice relative to the final balanced set.
JavaScript	66	gETNXKi3l_U	Lấy element trong DOM | Get element methods	https://www.youtube.com/watch?v=gETNXKi3l_U	True	Duplicate or lower-priority JavaScript concept/practice relative to the final balanced set.
JavaScript	72	SXW4QSjk4Js	Thêm element vào element trong DOM | InnerHTML property | OuterHTML property	https://www.youtube.com/watch?v=SXW4QSjk4Js	True	Duplicate or lower-priority JavaScript concept/practice relative to the final balanced set.
JavaScript	93	MFDXxCNqjKQ	Learn JavaScript ECMAScript 6 | ES6	https://www.youtube.com/watch?v=MFDXxCNqjKQ	True	Duplicate or lower-priority JavaScript concept/practice relative to the final balanced set.
JavaScript	109	CvX_5uyUXSs	Using Postman to work with REST API	https://www.youtube.com/watch?v=CvX_5uyUXSs	True	Duplicate or lower-priority JavaScript concept/practice relative to the final balanced set.
JavaScript	115	UajBbcr8sfc	Code Todo List Bằng Library Xịn Xò Của Chúng Ta | Todo List App | Thực hành JavaScript cơ bản	https://www.youtube.com/watch?v=UajBbcr8sfc	True	Duplicate or lower-priority JavaScript concept/practice relative to the final balanced set.
React Hooks	6	HbERbcazLhY	React Hooks: 05 - useState() via TodoForm example (2020)	https://www.youtube.com/watch?v=HbERbcazLhY	True	Overlaps selected useState/custom-hook coverage; removed to reduce repetitive React examples.
React Hooks	14	k2P78S4YllE	React hooks: 13 - Code a custom hooks from scratch (2020) 🎉	https://www.youtube.com/watch?v=k2P78S4YllE	True	Overlaps selected useState/custom-hook coverage; removed to reduce repetitive React examples.
Fullstack/SERN	28	rfEUpJ18x7A	#19 Cài đặt cơ sở dữ liệu MySQL với XAMPP - Cấu hình cơ sở dữ liệu  database cho Node.JS phần 1	https://www.youtube.com/watch?v=rfEUpJ18x7A	True	More setup/project-specific or duplicated by stronger backend/deployment selections.
Fullstack/SERN	36	OvtT3pafVl4	#27 CRUD với Node.js và Sequelize - Sử Dụng ORM Để  Sửa Dữ liệu (Edit) - Phần 3	https://www.youtube.com/watch?v=OvtT3pafVl4	True	Project-specific CRUD/detail step; redundant for auxiliary A2 coverage.
Fullstack/SERN	37	Yc1IHjNY8XI	#28 CRUD với Node.js và Sequelize - Sử Dụng ORM Để  Xóa Dữ liệu (Delete) - Phần 4	https://www.youtube.com/watch?v=Yc1IHjNY8XI	True	Project-specific CRUD/detail step; redundant for auxiliary A2 coverage.
Fullstack/SERN	43	W8vG4iOY8Hc	#33 Tạo Form Login Responsive Với React.js | React Cho Người Mới Bắt Đầu	https://www.youtube.com/watch?v=W8vG4iOY8Hc	True	More setup/project-specific or duplicated by stronger backend/deployment selections.
Fullstack/SERN	50	due4C4J53gs	#39 CRUD với React 3 | Viết API Thêm, Sửa, Xóa Người Dùng | React.JS Cho Người Mới Bắt Đầu	https://www.youtube.com/watch?v=due4C4J53gs	True	Project-specific CRUD/detail step; redundant for auxiliary A2 coverage.
