fixture_key	role	library_order	category	playlist_title	playlist_index	video_id	title	url	channel	upload_date	duration_seconds	view_count_at_harvest	availability	embeddable	age_limit	has_vtt	vtt_tracks	shared_with_a1
A2_LIB_001	CURRENT_LIBRARY	1	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	19	AkhPDT0VIeM	#5. Variables | Java Programming Course for Beginners from A to Z	https://www.youtube.com/watch?v=AkhPDT0VIeM	Hỏi Dân IT	20231216	544	2561	public	True	0	True	en,vi,vi-orig	False
A2_LIB_002	CURRENT_LIBRARY	2	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	24	UVHlHN5Ky7I	#10. Java Data Types (Kiểu dữ liệu) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=UVHlHN5Ky7I	Hỏi Dân IT	20231221	743	1597	public	True	0	True	vi,vi-orig	False
A2_LIB_003	CURRENT_LIBRARY	3	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	31	6AWG5AXWCzg	#16. Loops | Java Basic Course From A to Z for Beginners	https://www.youtube.com/watch?v=6AWG5AXWCzg	Hỏi Dân IT	20231228	540	1393	public	True	0	True	vi,vi-orig	False
A2_LIB_004	CURRENT_LIBRARY	4	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	32	xzbF3XpiHlo	#17. Array Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=xzbF3XpiHlo	Hỏi Dân IT	20231229	800	1871	public	True	0	True	vi,vi-orig	False
A2_LIB_005	CURRENT_LIBRARY	5	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	36	wO4oDe-hEKo	#21. What is Object-Oriented Programming (OOP)? | Java Basics A-Z Course for Beginners	https://www.youtube.com/watch?v=wO4oDe-hEKo	Hỏi Dân IT	20240102	407	3669	public	True	0	True	en,vi,vi-orig	False
A2_LIB_006	CURRENT_LIBRARY	6	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	37	PaOJlKbwiX0	#22. Concepts of Class and Object | Java Basics Course From A to Z for Beginners	https://www.youtube.com/watch?v=PaOJlKbwiX0	Hỏi Dân IT	20240103	348	2526	public	True	0	True	vi,vi-orig	False
A2_LIB_007	CURRENT_LIBRARY	7	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	41	tmKzNlHXmR0	#26. Defining a Constructor | Basic Java Course from A to Z for Beginners	https://www.youtube.com/watch?v=tmKzNlHXmR0	Hỏi Dân IT	20240107	908	2778	public	True	0	True	vi,vi-orig	False
A2_LIB_008	CURRENT_LIBRARY	8	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	42	YyMOnvkhXLU	#27. Access Modifier (private/public/protected) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=YyMOnvkhXLU	Hỏi Dân IT	20240108	1013	2665	public	True	0	True	vi,vi-orig	False
A2_LIB_009	CURRENT_LIBRARY	9	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	43	teQ5QZ2lUkE	#28. Encapsulation Java | Basic Java Course From A to Z for Beginners	https://www.youtube.com/watch?v=teQ5QZ2lUkE	Hỏi Dân IT	20240109	888	2481	public	True	0	True	vi,vi-orig	False
A2_LIB_010	CURRENT_LIBRARY	10	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	48	LykA5UTyrMs	#33. What is an ArrayList? | Java Fundamentals Course From A to Z for Beginners	https://www.youtube.com/watch?v=LykA5UTyrMs	Hỏi Dân IT	20240114	687	1904	public	True	0	True	en,vi,vi-orig	False
A2_LIB_011	CURRENT_LIBRARY	11	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	49	IhnwAcrBRTs	#34. Java Generics (Basic) | Java Programming Course from A to Z for Beginners	https://www.youtube.com/watch?v=IhnwAcrBRTs	Hỏi Dân IT	20240115	515	2060	public	True	0	True	en,vi,vi-orig	False
A2_LIB_012	CURRENT_LIBRARY	12	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	57	pXzRhD4Vu2s	#41. Java Inheritance - Kế Thừa | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=pXzRhD4Vu2s	Hỏi Dân IT	20240126	514	1474	public	True	0	True	en,vi,vi-orig	False
A2_LIB_013	CURRENT_LIBRARY	13	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	60	yMRSXK9dfp8	#43. Abstract Class (Basic) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=yMRSXK9dfp8	Hỏi Dân IT	20240129	225	1459	public	True	0	True	en,vi,vi-orig	False
A2_LIB_014	CURRENT_LIBRARY	14	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	61	vIob6cVNufw	#44. Java Polymorphism | Java Basic Course from A to Z for Beginners	https://www.youtube.com/watch?v=vIob6cVNufw	Hỏi Dân IT	20240130	676	2291	public	True	0	True	en,vi,vi-orig	False
A2_LIB_015	CURRENT_LIBRARY	15	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	64	eRj_XQawcBg	#47. Interface Trong Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=eRj_XQawcBg	Hỏi Dân IT	20240202	650	2572	public	True	0	True	en,vi,vi-orig	False
A2_LIB_016	CURRENT_LIBRARY	16	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	69	xN_DF0FRx7A	#52. Try...Catch Xử Lý Exception | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=xN_DF0FRx7A	Hỏi Dân IT	20240207	808	1552	public	True	0	True	en,vi,vi-orig	False
A2_LIB_017	CURRENT_LIBRARY	17	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	76	GgAsaNcxdwY	#59. Example of Read/Write File with Java | Basic Java Course From A to Z for Beginners	https://www.youtube.com/watch?v=GgAsaNcxdwY	Hỏi Dân IT	20240214	537	2418	public	True	0	True	en,vi,vi-orig	False
A2_LIB_018	CURRENT_LIBRARY	18	Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	78	9M0UjGVZaDY	#61. Processes and Threads | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=9M0UjGVZaDY	Hỏi Dân IT	20240216	496	2823	public	True	0	True	en,vi,vi-orig	False
