"source_role"	"library_order"	"youtube_video_id"	"video_title"	"note_fixture_key"	"note_timestamp_seconds"	"note_text"	"evidence_type"	"vtt_track"	"cue_start_seconds"	"linked_task_fixture_key"	"linked_task_title"	"linked_task_deadline_class"
"CURRENT_LIBRARY"	"1"	"7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"a1-note-LIBRARY_01-1"	"3843"	"Scanner dùng để nhận dữ liệu từ bàn phím; giá trị nhập có thể là chuỗi hoặc số nguyên."	"VTT_CUE"	"vi-orig"	"3843"	"a1-task-has-1"	"Thực hành nhập dữ liệu bằng Scanner"	"OVERDUE"
"CURRENT_LIBRARY"	"1"	"7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"a1-note-LIBRARY_01-2"	"11672"	"Thuộc tính length cho biết số phần tử của mảng."	"VTT_CUE"	"vi-orig"	"11672"	"a1-task-has-38"	"Ôn cách lấy độ dài mảng"	""
"CURRENT_LIBRARY"	"1"	"7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"a1-note-LIBRARY_01-3"	"19207"	"Từ khóa private giới hạn truy cập trực tiếp vào thuộc tính của class."	"VTT_CUE"	"vi-orig"	"19207"	""	""	""
"CURRENT_LIBRARY"	"1"	"7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"a1-note-LIBRARY_01-4"	"26824"	"Từ khóa extends dùng để thể hiện một lớp kế thừa lớp khác trong Java."	"VTT_CUE"	"vi-orig"	"26824"	""	""	""
"CURRENT_LIBRARY"	"1"	"7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"a1-note-LIBRARY_01-5"	"34461"	"Có thể dùng generate toString để in nhanh thông tin của đối tượng."	"VTT_CUE"	"vi-orig"	"34461"	""	""	""
"CURRENT_LIBRARY"	"2"	"IedQ5sZoJGY"	"#48 [C++]. Lập trình Hướng Đối Tượng OOP Phần 1 (Update 2025)"	"a1-note-LIBRARY_02-1"	"417"	"C++ class có thể dùng public, private và protected để quy định quyền truy cập."	"VTT_CUE"	"vi-orig"	"417"	"a1-task-has-2"	"Ôn ba quyền truy cập trong C++"	"OVERDUE"
"CURRENT_LIBRARY"	"2"	"IedQ5sZoJGY"	"#48 [C++]. Lập trình Hướng Đối Tượng OOP Phần 1 (Update 2025)"	"a1-note-LIBRARY_02-2"	"1253"	"Constructor được gọi khi tạo đối tượng và dùng để khởi tạo thuộc tính."	"VTT_CUE"	"vi-orig"	"1253"	"a1-task-has-39"	"Thực hành constructor khởi tạo thuộc tính"	"UPCOMING"
"CURRENT_LIBRARY"	"2"	"IedQ5sZoJGY"	"#48 [C++]. Lập trình Hướng Đối Tượng OOP Phần 1 (Update 2025)"	"a1-note-LIBRARY_02-3"	"2568"	"Có thể chuẩn hóa tên và ngày sinh trước khi hiển thị dữ liệu."	"VTT_CUE"	"vi-orig"	"2568"	""	""	""
"CURRENT_LIBRARY"	"2"	"IedQ5sZoJGY"	"#48 [C++]. Lập trình Hướng Đối Tượng OOP Phần 1 (Update 2025)"	"a1-note-LIBRARY_02-4"	"3515"	"Nắm chắc C++ và thuật toán giúp việc triển khai các công nghệ phức tạp dễ hơn."	"VTT_CUE"	"vi-orig"	"3515"	""	""	""
"CURRENT_LIBRARY"	"3"	"UAYrGeLUeX4"	"Lộ Trình Học Cấu Trúc Dữ Liệu Và Giải Thuật | Học Thuật Toán Hiệu Quả"	"a1-note-LIBRARY_03-1"	"203"	"Cần nắm nền tảng lập trình trước khi học cấu trúc dữ liệu và giải thuật."	"VTT_CUE"	"vi-orig"	"203"	"a1-task-has-3"	"Xác định nền tảng trước khi học thuật toán"	"OVERDUE"
"CURRENT_LIBRARY"	"3"	"UAYrGeLUeX4"	"Lộ Trình Học Cấu Trúc Dữ Liệu Và Giải Thuật | Học Thuật Toán Hiệu Quả"	"a1-note-LIBRARY_03-2"	"604"	"Muốn giỏi cấu trúc dữ liệu và giải thuật phải luyện nhiều bài tập."	"VTT_CUE"	"vi-orig"	"604"	"a1-task-has-40"	"Luyện bài tập cấu trúc dữ liệu"	"NONE"
"CURRENT_LIBRARY"	"4"	"xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"a1-note-LIBRARY_04-1"	"501"	"Danh sách liên kết lưu các phần tử rải rác và nối chúng bằng liên kết, khác mảng liên tiếp."	"VTT_CUE"	"vi-orig"	"501"	"a1-task-has-4"	"Ôn cách tổ chức danh sách liên kết"	""
"CURRENT_LIBRARY"	"4"	"xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"a1-note-LIBRARY_04-2"	"1725"	"Danh sách liên kết có thể giữ con trỏ tới phần tử đầu và cuối để thao tác nhanh hơn."	"VTT_CUE"	"vi-orig"	"1725"	"a1-task-has-41"	"Thực hành thêm phần tử vào cuối danh sách"	""
"CURRENT_LIBRARY"	"4"	"xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"a1-note-LIBRARY_04-3"	"3294"	"Có thể viết phương thức để thêm phần tử mới vào danh sách liên kết."	"VTT_CUE"	"vi-orig"	"3294"	""	""	""
"CURRENT_LIBRARY"	"4"	"xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"a1-note-LIBRARY_04-4"	"5152"	"Khi thêm phần tử cuối, cần cập nhật các con trỏ theo đúng thứ tự."	"VTT_CUE"	"vi-orig"	"5152"	""	""	""
"CURRENT_LIBRARY"	"4"	"xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"a1-note-LIBRARY_04-5"	"6939"	"Vòng lặp dừng khi điều kiện kiểm tra không còn đúng."	"VTT_CUE"	"vi-orig"	"6939"	""	""	""
"CURRENT_LIBRARY"	"5"	"wMkgr9hoL_8"	"Gặp khó khăn khi học những kiến thức lập trình cơ bản, sinh viên IT cần làm gì ? #28tech #laptrinh"	"a1-note-LIBRARY_05-1"	"76"	"Sau khi học lý thuyết lập trình, cần thực hành viết câu lệnh để ghi nhớ."	"VTT_CUE"	"vi-orig"	"76"	"a1-task-has-5"	"Thực hành sau khi học lý thuyết"	"TODAY"
"CURRENT_LIBRARY"	"6"	"pV45eVVcuYc"	"[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu"	"a1-note-LIBRARY_06-1"	"573"	"HTML và CSS tạo giao diện cho website, còn Java đảm nhiệm phần backend."	"VTT_CUE"	"vi-orig"	"573"	"a1-task-has-6"	"Ôn vai trò của HTML và CSS trong website"	"TODAY"
"CURRENT_LIBRARY"	"6"	"pV45eVVcuYc"	"[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu"	"a1-note-LIBRARY_06-2"	"1530"	"Spring Boot là một phần của hệ sinh thái Spring và tập hợp nhiều thư viện."	"VTT_CUE"	"vi-orig"	"1530"	"a1-task-has-42"	"Tìm hiểu Spring Boot trong hệ sinh thái Spring"	"NONE"
"CURRENT_LIBRARY"	"6"	"pV45eVVcuYc"	"[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu"	"a1-note-LIBRARY_06-3"	"2527"	"Nhiều website xoay quanh các thao tác CRUD: tạo, đọc, cập nhật và xóa dữ liệu."	"VTT_CUE"	"vi-orig"	"2527"	""	""	""
"CURRENT_LIBRARY"	"6"	"pV45eVVcuYc"	"[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu"	"a1-note-LIBRARY_06-4"	"3475"	"Lộ trình học cần đi từng giai đoạn để người mới biết công nghệ nào nên tìm hiểu tiếp."	"VTT_CUE"	"vi-orig"	"3475"	""	""	""
"CURRENT_LIBRARY"	"7"	"L-ZrZwvNsuo"	"Spring Boot #9: Tạo RESTful API trong Spring Boot như thế nào?"	"a1-note-LIBRARY_07-1"		"Xem lại bài Spring Boot về RESTful API và tự ghi chú những phần cần áp dụng."	"SOURCE_METADATA"			"a1-task-has-7"	"Ôn lại bài Spring Boot về RESTful API"	""
"CURRENT_LIBRARY"	"8"	"38FxjicRCS8"	"[Khóa học sử dụng SQL server] - Bài 6: Tạo khóa chính| HowKteam"	"a1-note-LIBRARY_08-1"	"236"	"Khóa chính ghép từ nhiều trường vẫn chỉ là một khóa chính, dùng để định danh bản ghi."	"VTT_CUE"	"vi-orig"	"236"	"a1-task-has-8"	"Thực hành tạo khóa chính ghép"	"TODAY"
"CURRENT_LIBRARY"	"8"	"38FxjicRCS8"	"[Khóa học sử dụng SQL server] - Bài 6: Tạo khóa chính| HowKteam"	"a1-note-LIBRARY_08-2"	"893"	"Trường dùng làm khóa cần được khai báo NOT NULL."	"VTT_CUE"	"vi-orig"	"893"	"a1-task-has-43"	"Kiểm tra ràng buộc NOT NULL cho khóa"	"NONE"
