"fixture_key"	"role"	"library_order"	"youtube_video_id"	"source_url"	"title"	"channel_name"	"duration_seconds"
"LIBRARY_01"	"CURRENT_LIBRARY"	"1"	"7L0RLrfrBHE"	"https://www.youtube.com/watch?v=7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"Hỏi Dân IT"	"38239"
"LIBRARY_02"	"CURRENT_LIBRARY"	"2"	"IedQ5sZoJGY"	"https://www.youtube.com/watch?v=IedQ5sZoJGY"	"#48 [C++]. Lập trình Hướng Đối Tượng OOP Phần 1 (Update 2025)"	"28tech"	"5076"
"LIBRARY_03"	"CURRENT_LIBRARY"	"3"	"UAYrGeLUeX4"	"https://www.youtube.com/watch?v=UAYrGeLUeX4"	"Lộ Trình Học Cấu Trúc Dữ Liệu Và Giải Thuật | Học Thuật Toán Hiệu Quả"	"28tech"	"812"
"LIBRARY_04"	"CURRENT_LIBRARY"	"4"	"xMp7wz1Rwm4"	"https://www.youtube.com/watch?v=xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"K team"	"7936"
"LIBRARY_05"	"CURRENT_LIBRARY"	"5"	"wMkgr9hoL_8"	"https://www.youtube.com/watch?v=wMkgr9hoL_8"	"Gặp khó khăn khi học những kiến thức lập trình cơ bản, sinh viên IT cần làm gì ? #28tech #laptrinh"	"28tech"	"142"
"LIBRARY_06"	"CURRENT_LIBRARY"	"6"	"pV45eVVcuYc"	"https://www.youtube.com/watch?v=pV45eVVcuYc"	"[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu"	"Hỏi Dân IT"	"3959"
"LIBRARY_07"	"CURRENT_LIBRARY"	"7"	"L-ZrZwvNsuo"	"https://www.youtube.com/watch?v=L-ZrZwvNsuo"	"Spring Boot #9: Tạo RESTful API trong Spring Boot như thế nào?"	"TechMaster Vietnam"	"294"
"LIBRARY_08"	"CURRENT_LIBRARY"	"8"	"38FxjicRCS8"	"https://www.youtube.com/watch?v=38FxjicRCS8"	"[Khóa học sử dụng SQL server] - Bài 6: Tạo khóa chính| HowKteam"	"K team"	"1117"
"LIBRARY_09"	"CURRENT_LIBRARY"	"9"	"nm6qg6sinLU"	"https://www.youtube.com/watch?v=nm6qg6sinLU"	"[Khóa học sử dụng SQL server] - Bài 7: Tạo khóa ngoại| HowKteam"	"K team"	"1271"
"LIBRARY_10"	"CURRENT_LIBRARY"	"10"	"BTNU1aPwxvg"	"https://www.youtube.com/watch?v=BTNU1aPwxvg"	"Chapter 1: React và JavaScript ES6 (Bổ trợ kiến thức)"	"Hỏi Dân IT"	"9647"
"LIBRARY_11"	"CURRENT_LIBRARY"	"11"	"SIAGpAaLSaI"	"https://www.youtube.com/watch?v=SIAGpAaLSaI"	"React hooks: 03 - Dùng useState() qua ví dụ đơn giản (2020)"	"Easy Frontend"	"1240"
"LIBRARY_12"	"CURRENT_LIBRARY"	"12"	"_yfpSc6ubLE"	"https://www.youtube.com/watch?v=_yfpSc6ubLE"	"Typescript: 01-01 - Giới thiệu nội dung series typescript cơ bản"	"Easy Frontend"	"549"
"LIBRARY_13"	"CURRENT_LIBRARY"	"13"	"30sMCciFIAM"	"https://www.youtube.com/watch?v=30sMCciFIAM"	"SPA/MPA là gì | Khái niệm SPA |  ReactJS"	"F8 Official"	"1340"
"LIBRARY_14"	"CURRENT_LIBRARY"	"14"	"hjIxfXKmkjk"	"https://www.youtube.com/watch?v=hjIxfXKmkjk"	"React useEffect hook chi tiết dành cho người mới | React JS"	"F8 Official"	"1490"
"LIBRARY_15"	"CURRENT_LIBRARY"	"15"	"unFHsn0qSMA"	"https://www.youtube.com/watch?v=unFHsn0qSMA"	"React hooks - Giới thiệu tổng quát về hooks (2020)"	"Easy Frontend"	"511"
"LIBRARY_16"	"CURRENT_LIBRARY"	"16"	"6TE1VEIWqLE"	"https://www.youtube.com/watch?v=6TE1VEIWqLE"	"CHIA SẺ KỸ NĂNG MỀM CHO SINH VIÊN: Rèn luyện kỹ năng giao tiếp và thuyết trình tốt (BUỔI 2)"	"Học trực tuyến e-Learning"	"7431"
"LIBRARY_17"	"CURRENT_LIBRARY"	"17"	"nCVDg40aoeY"	"https://www.youtube.com/watch?v=nCVDg40aoeY"	"Fresher/Người Ít Kính Nghiệm ""Phải Biết"" Nếu Muốn Xin Việc/Thực Tập | Review CV Trong 3 phút"	"Hỏi Dân IT"	"2471"
"LIBRARY_18"	"CURRENT_LIBRARY"	"18"	"0uAc1K2kfrA"	"https://www.youtube.com/watch?v=0uAc1K2kfrA"	"Những Sinh Viên IT Sợ Code"	"28tech"	"1390"
"LIBRARY_19"	"CURRENT_LIBRARY"	"19"	"-BtolPy15fg"	"https://www.youtube.com/watch?v=-BtolPy15fg"	"#1 What and Why Git - Tại Sao Chúng Ta Học Git | Git Siêu Dễ Cho Beginners Từ A Đến Z"	"Hỏi Dân IT"	"1315"
"LIBRARY_20"	"CURRENT_LIBRARY"	"20"	"QoW2wR_P4WU"	"https://www.youtube.com/watch?v=QoW2wR_P4WU"	"Cách để Học Mọi Thứ Nhanh Hơn và Tốt Hơn | VyLog Khánh Vy"	"Khánh Vy OFFICIAL"	"1014"
"LIBRARY_21"	"CURRENT_LIBRARY"	"21"	"OqdLrih2G9A"	"https://www.youtube.com/watch?v=OqdLrih2G9A"	"Cách tự học từ vựng Tiếng Anh mỗi ngày để lên trình | VyVocab Ep.52 | Khánh Vy"	"Khánh Vy OFFICIAL"	"584"
"LIBRARY_22"	"CURRENT_LIBRARY"	"22"	"MICKb4Cko2Y"	"https://www.youtube.com/watch?v=MICKb4Cko2Y"	"Kế Hoạch 30 Ngày Tự Học Tiếng Anh Chi Tiết | Cải thiện & Nâng Cao Vượt Bậc VyVocab Ep.114"	"Khánh Vy OFFICIAL"	"1380"
"LIBRARY_23"	"CURRENT_LIBRARY"	"23"	"yd17Or0C4vs"	"https://www.youtube.com/watch?v=yd17Or0C4vs"	"Lên Kế Hoạch 1 NĂM GIỎI TIẾNG ANH | 15 phút mỗi ngày/365 ngày | VyVocab Ep.104"	"Khánh Vy OFFICIAL"	"802"
"LIBRARY_24"	"CURRENT_LIBRARY"	"24"	"6-uzl3hLfLM"	"https://www.youtube.com/watch?v=6-uzl3hLfLM"	"5 Mẹo Tự Học Tiếng Anh cho người Mất Gốc | Tự Học Không Khó VyVocab Ep.93 Khánh Vy"	"Khánh Vy OFFICIAL"	"703"
"LIBRARY_25"	"CURRENT_LIBRARY"	"25"	"lk4faynwZ5Q"	"https://www.youtube.com/watch?v=lk4faynwZ5Q"	"Cách mình Quản Lý Thời Gian Tối Ưu | VyLog - Khánh Vy"	"Khánh Vy OFFICIAL"	"769"
"LIBRARY_26"	"CURRENT_LIBRARY"	"26"	"Uq3KjJA8BHQ"	"https://www.youtube.com/watch?v=Uq3KjJA8BHQ"	"HỌC NHỒI TỪ VỰNG TIẾNG ANH? 100 TỪ 1 NGÀY CÓ KHẢ THI? [Eng]"	"Hana's Lexis"	"1168"
"LIBRARY_27"	"CURRENT_LIBRARY"	"27"	"2GbX7PB7KUQ"	"https://www.youtube.com/watch?v=2GbX7PB7KUQ"	"3 nguồn luyện Phát âm tiếng Anh hiệu quả| IELTS FIGHTER"	"IELTS Fighter"	"480"
"LIBRARY_28"	"CURRENT_LIBRARY"	"28"	"BMo3pDEq6Ac"	"https://www.youtube.com/watch?v=BMo3pDEq6Ac"	"Lỗi Sai Khi Học và Thi IELTS | Cách Tăng Band Điểm 4 Kỹ Năng VyVocab Ep.111"	"Khánh Vy OFFICIAL"	"1402"
