"fixture_key"	"role"	"youtube_video_id"	"title"	"source_state"	"evidence_state"	"selected_track"	"existing_tracks"	"advertised_requested_tracks"	"reason"
"LIBRARY_01"	"CURRENT_LIBRARY"	"7L0RLrfrBHE"	"[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig,vi"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_02"	"CURRENT_LIBRARY"	"IedQ5sZoJGY"	"#48 [C++]. Lập trình Hướng Đối Tượng OOP Phần 1 (Update 2025)"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_03"	"CURRENT_LIBRARY"	"UAYrGeLUeX4"	"Lộ Trình Học Cấu Trúc Dữ Liệu Và Giải Thuật | Học Thuật Toán Hiệu Quả"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_04"	"CURRENT_LIBRARY"	"xMp7wz1Rwm4"	"Lập trình C/C++ KTeam: Buổi 8 - Danh sách liên kết"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_05"	"CURRENT_LIBRARY"	"wMkgr9hoL_8"	"Gặp khó khăn khi học những kiến thức lập trình cơ bản, sinh viên IT cần làm gì ? #28tech #laptrinh"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_06"	"CURRENT_LIBRARY"	"pV45eVVcuYc"	"[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_07"	"CURRENT_LIBRARY"	"L-ZrZwvNsuo"	"Spring Boot #9: Tạo RESTful API trong Spring Boot như thế nào?"	"NO_VTT"	"METADATA_CONFIRMED"	""	""	""	"Downloaded metadata advertises none of the requested vi-orig, vi, or en tracks."
"LIBRARY_08"	"CURRENT_LIBRARY"	"38FxjicRCS8"	"[Khóa học sử dụng SQL server] - Bài 6: Tạo khóa chính| HowKteam"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_09"	"CURRENT_LIBRARY"	"nm6qg6sinLU"	"[Khóa học sử dụng SQL server] - Bài 7: Tạo khóa ngoại| HowKteam"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_10"	"CURRENT_LIBRARY"	"BTNU1aPwxvg"	"Chapter 1: React và JavaScript ES6 (Bổ trợ kiến thức)"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
